sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
1,A,Drought,PIEN,38.2,3.62,16.6,0.2862,0.5757,0.9806,,0.9806,1.8425,0.155332429,0.312455902,0.532211669,0.844667571,73.918,0.102921717,718.1963361,
2,A,Drought,PIEN,38.2,3.46,21.9,0.3206,0.5263,0.3757,0.0971,0.4728,1.3197,0.242934,0.398802758,0.358263242,0.757066,36.744,0.094024727,390.7908202,
3,A,Drought,PIEN,38.2,4.39,17.5,0.258,0.6939,0.7294,0.065,0.7944,1.7463,0.147740938,0.397354406,0.454904656,0.852259062,61.629,0.151362719,407.161025,
4,A,Control,PIEN,38.2,2.69,17.5,0.2231,0.6105,0.8902,,0.8902,1.7238,0.129423367,0.354159415,0.516417218,0.870576633,65.628,0.056832197,1154.767967,
5,A,Control,PIEN,38.2,2.69,10.7,0.1253,0.1913,0.1428,0.017,0.1598,0.4764,0.263014274,0.401553317,0.33543241,0.736985726,13.981,0.056832197,246.0049208,
6,A,Control,PIEN,38.2,2.55,7.1,0.0459,0.2041,0.2468,,0.2468,0.4968,0.092391304,0.410829308,0.496779388,0.907608696,18.484,0.051070516,361.9309457,
7,B,Drought,PIEN,28.3,,,,,,,,,,,,,,,,over 5mm
8,B,Drought,PIEN,28.3,1.27,7.1,0.0241,0.0289,0.0395,,0.0395,0.0925,0.260540541,0.312432432,0.427027027,0.739459459,3.774,0.012667687,297.9233704,
9,B,Drought,PIEN,28.3,1.64,7.2,0.02,0.0252,0.0243,,0.0243,0.0695,0.287769784,0.362589928,0.349640288,0.712230216,2.493,0.021124069,118.0170354,
10,B,Drought,PIEN,28.3,1.35,11,0.0376,0.0141,0.04,,0.04,0.0917,0.410032715,0.153762268,0.436205016,0.589967285,4.047,0.014313882,282.7325343,
11,B,Drought,ABLA,28.3,,,,,,,,,,,,,,,,over 5mm
12,B,Drought,ABLA,28.3,2.8,14.7,0.083,0.0587,0.1111,,0.1111,0.2528,0.328322785,0.232199367,0.439477848,0.671677215,8.91,0.061575216,144.7010758,
13,B,Control,PIEN,28.3,,,,,,,,,,,,,,,,over 5mm
14,B,Control,PIEN,28.3,1.51,6.7,0.0437,0.0511,0.0744,,0.0744,0.1692,0.258274232,0.302009456,0.439716312,0.741725768,6.392,0.017907864,356.9381681,
15,B,Control,PIEN,28.3,1.53,6.5,0.0269,0.0345,0.0553,,0.0553,0.1167,0.23050557,0.29562982,0.47386461,0.76949443,4.931,0.018385386,268.2021528,
16,B,Control,PIEN,28.3,1.75,5.4,0.0531,0.0794,0.1182,,0.1182,0.2507,0.211806941,0.316713203,0.471479856,0.788193059,11.95,0.024052819,496.8232673,
17,B,Control,ABLA,28.3,4.33,32.3,0.593,1.2893,1.8287,,1.8287,3.711,0.159795203,0.34742657,0.492778227,0.840204797,134.826,0.147253516,915.6046214,
18,B,Control,ABLA,28.3,1.69,9.5,0.0958,0.0636,0.143,,0.143,0.3024,0.316798942,0.21031746,0.472883598,0.683201058,12.432,0.022431757,554.2142789,
19,C,Drought,PIEN,21.7,2.17,8,0.0405,0.0801,0.096,,0.096,0.2166,0.186980609,0.369806094,0.443213296,0.813019391,9.624,0.036983614,260.2233511,
20,C,Drought,PIEN,21.7,1.18,5.7,0.0134,0.0182,0.0311,,0.0311,0.0627,0.213716108,0.290271132,0.496012759,0.786283892,3.207,0.010935884,293.2547558,
21,C,Drought,PIEN,21.7,2.84,13.5,0.1639,0.2813,0.3677,,0.3677,0.8129,0.201623816,0.346045024,0.45233116,0.798376184,29.942,0.063347074,472.6658705,
22,C,Drought,PIEN,21.7,1.71,10.7,0.0421,0.0691,0.086,,0.086,0.1972,0.213488844,0.35040568,0.436105477,0.786511156,8.933,0.022965828,388.9692163,
23,C,Drought,PIEN,21.7,1.25,7.3,0.019,0.0244,0.0469,,0.0469,0.0903,0.210409745,0.27021041,0.519379845,0.789590255,4.442,0.012271846,361.9667237,
24,C,Drought,PIEN,21.7,0.71,3.1,0.0029,0.0022,0.0074,,0.0074,0.0125,0.232,0.176,0.592,0.768,0.794,0.003959192,200.5459628,
25,C,Drought,PIEN,21.7,1.18,9.6,0.0192,0.0128,0.026,,0.026,0.058,0.331034483,0.220689655,0.448275862,0.668965517,2.857,0.010935884,261.2500272,
26,C,Drought,PIEN,21.7,1.11,6.6,0.0058,0.0094,0.0138,,0.0138,0.029,0.2,0.324137931,0.475862069,0.8,1.591,0.009676891,164.4123136,
27,C,Drought,ABLA,21.7,0.64,8.3,0.0103,0.0085,0.0137,,0.0137,0.0325,0.316923077,0.261538462,0.421538462,0.683076923,1.565,0.003216991,486.4794647,
28,C,Drought,ABLA,21.7,1.46,7.6,0.0209,0.0102,0.0307,,0.0307,0.0618,0.338187702,0.165048544,0.496763754,0.661812298,3.115,0.016741547,186.0640449,
29,C,Drought,ABLA,21.7,3.09,5.7,0.1799,0.3406,0.6116,,0.6116,1.1321,0.158908224,0.300856815,0.540234962,0.841091776,53.096,0.074990602,708.0353878,
30,C,Drought,ABLA,21.7,0.97,8,0.012,0.0054,0.0062,,0.0062,0.0236,0.508474576,0.228813559,0.262711864,0.491525424,0.679,0.007389811,91.88326611,
31,C,Drought,ABLA,21.7,2.03,10,0.0301,0.0471,0.0548,,0.0548,0.132,0.228030303,0.356818182,0.415151515,0.771969697,4.431,0.032365473,136.9051523,
32,C,Drought,ABLA,21.7,0.92,7.1,0.0152,0.0062,0.0163,,0.0163,0.0377,0.403183024,0.164456233,0.432360743,0.596816976,1.813,0.00664761,272.7295953,
33,C,Control,PIEN,21.7,1.01,5.6,0.01,0.0114,0.0262,,0.0262,0.0476,0.210084034,0.239495798,0.550420168,0.789915966,2.918,0.008011847,364.2106648,
34,C,Control,PIEN,21.7,0.58,8.4,0.0055,0.0041,0.0043,,0.0043,0.0139,0.395683453,0.294964029,0.309352518,0.604316547,0.687,0.002642079,260.0224635,
35,C,Control,PIEN,21.7,1.27,9.3,0.0158,0.0175,0.0232,,0.0232,0.0565,0.279646018,0.309734513,0.410619469,0.720353982,2.864,0.012667687,226.0870517,
36,C,Control,PIEN,21.7,0.85,7.1,0.0069,0.0033,0.0095,,0.0095,0.0197,0.350253807,0.16751269,0.482233503,0.649746193,1.278,0.005674502,225.2180122,
37,C,Control,PIEN,21.7,2.45,10.5,0.1174,0.1994,0.2578,,0.2578,0.5746,0.204316046,0.347024017,0.448659937,0.795683954,23.754,0.047143525,503.8655918,
38,C,Control,PIEN,21.7,1.17,3.9,0.0076,0.0065,0.0108,,0.0108,0.0249,0.305220884,0.261044177,0.43373494,0.694779116,1.224,0.010751315,113.8465339,
39,C,Control,PIEN,21.7,1.11,6.2,0.014,0.0097,0.0084,,0.0084,0.0321,0.436137072,0.302180685,0.261682243,0.563862928,0.871,0.009676891,90.00824961,
40,C,Control,PIEN,21.7,1.62,14,0.0639,0.0706,0.0863,,0.0863,0.2208,0.289402174,0.319746377,0.390851449,0.710597826,8.016,0.020611989,388.8998701,
41,C,Control,ABLA,21.7,,,,,,,,,,,,,,,,Sample missing
42,C,Control,ABLA,21.7,1.73,9.2,0.0325,0.008,0.0258,,0.0258,0.0663,0.490196078,0.12066365,0.389140271,0.509803922,2.75,0.023506182,116.9905025,
43,C,Control,ABLA,21.7,1.31,11.3,0.0354,0.0174,0.044,,0.044,0.0968,0.365702479,0.179752066,0.454545455,0.634297521,4.122,0.013478218,305.8267819,
44,C,Control,ABLA,21.7,1.1,6.4,0.0149,0.0054,0.0214,,0.0214,0.0417,0.357314149,0.129496403,0.513189448,0.642685851,1.962,0.009503318,206.4542138,
45,C,Control,ABLA,21.7,0.96,7.5,0.0155,0.0079,0.0214,,0.0214,0.0448,0.345982143,0.176339286,0.477678571,0.654017857,2.276,0.007238229,314.4415369,
46,C,Control,ABLA,21.7,1.65,9.2,0.0411,0.0324,0.0704,,0.0704,0.1439,0.28561501,0.225156359,0.489228631,0.71438499,5.811,0.021382465,271.7647381,
47,D,Drought,PIEN,19.9,2.53,9.6,0.1944,0.2963,0.3108,,0.3108,0.8015,0.242545228,0.369681847,0.387772926,0.757454772,33.538,0.050272551,667.1234959,
48,D,Drought,ABLA,19.9,2.6,17.2,0.1854,0.3345,0.4481,0.0792,0.5273,1.0472,0.177043545,0.319423224,0.503533231,0.822956455,46.953,0.053092916,884.3552714,
49,D,Control,PIEN,19.9,2.76,14.7,0.1277,0.204,0.2491,,0.2491,0.5808,0.219869146,0.351239669,0.428891185,0.780130854,19.849,0.05982849,331.7650142,
50,D,Control,ABLA,19.9,2.78,25.5,0.2043,0.2082,0.3507,0.0448,0.3955,0.808,0.252846535,0.257673267,0.489480198,0.747153465,35.738,0.060698712,588.7769118,
51,E,Drought,PIEN,21.4,1.65,5.1,0.0398,0.027,0.0341,,0.0341,0.1009,0.39444995,0.267591675,0.337958375,0.60555005,4.376,0.021382465,204.653673,
52,E,Drought,PIEN,21.4,2.81,25.7,0.1913,0.4039,0.3544,0.0654,0.4198,1.015,0.188472906,0.397931034,0.413596059,0.811527094,33.826,0.062015824,545.4414311,
53,E,Drought,PIEN,21.4,3.31,12.9,0.2153,0.2714,0.4351,,0.4351,0.9218,0.233564765,0.294423953,0.472011282,0.766435235,37.561,0.086049008,436.5070649,
54,E,Drought,PIEN,21.4,2.45,6.6,0.1074,0.1365,0.1954,,0.1954,0.4393,0.244479854,0.310721603,0.444798543,0.755520146,16.834,0.047143525,357.0797917,
55,E,Control,PIEN,21.4,1.4,6.4,0.0292,0.0208,0.055,,0.055,0.105,0.278095238,0.198095238,0.523809524,0.721904762,5.6,0.015393804,363.7827271,
56,E,Control,PIEN,21.4,2.17,11.9,0.1243,0.1093,0.2476,,0.2476,0.4812,0.258312552,0.227140482,0.514546966,0.741687448,22.011,0.036983614,595.1554635,
57,E,Control,PIEN,21.4,2.99,10.3,0.2867,0.4199,0.5894,,0.5894,1.296,0.221219136,0.323996914,0.454783951,0.778780864,54.802,0.070215381,780.4842623,
58,E,Control,PIEN,21.4,4.42,13,0.4132,1.1122,0.5494,0.0742,0.6236,2.149,0.192275477,0.517543043,0.29018148,0.807724523,46.301,0.153438527,301.7560255,
59,F,Drought,ABLA,28.3,2.54,9.1,0.0563,0.1117,0.0686,,0.0686,0.2366,0.237954353,0.472104818,0.289940828,0.762045647,5.665,0.050670748,111.8002049,
60,F,Drought,ABLA,28.3,3.43,14.6,0.2557,0.381,0.6388,,0.6388,1.2755,0.200470404,0.29870639,0.500823207,0.799529596,51.148,0.092401309,553.5419445,
61,F,Drought,ABLA,28.3,3.01,8,0.1259,0.0794,0.166,,0.166,0.3713,0.339078912,0.213843253,0.447077835,0.660921088,13.567,0.071157859,190.6605987,
62,F,Control,ABLA,28.3,2.38,15.3,0.1263,0.1139,0.2773,,0.2773,0.5175,0.244057971,0.220096618,0.535845411,0.755942029,22.675,0.044488094,509.6869338,
63,F,Control,ABLA,28.3,2.29,7.5,0.0505,0.0665,0.0946,,0.0946,0.2116,0.238657845,0.314272212,0.447069943,0.761342155,7.571,0.041187065,183.8198469,
64,F,Control,ABLA,28.3,2.32,24,0.223,0.2561,0.2689,0.0426,0.3115,0.7906,0.282064255,0.323931192,0.394004554,0.717935745,27.385,0.042273271,647.8088758,
65,G,Drought,PIEN,33,3.8,17.6,0.1946,0.5218,0.5191,0.0287,0.5478,1.2642,0.15393134,0.412751147,0.433317513,0.84606866,42.038,0.113411495,370.6678946,
66,G,Drought,PIEN,33,2.91,11.8,0.1739,0.1267,0.2497,,0.2497,0.5503,0.316009449,0.230238052,0.453752499,0.683990551,21.467,0.066508302,322.7717352,
67,G,Control,PIEN,33,3.43,9.2,0.2543,0.2686,0.384,0.0376,0.4216,0.9445,0.269242986,0.284383272,0.446373743,0.730757014,35.237,0.092401309,381.3474134,
68,G,Control,PIEN,33,2.29,7.7,0.0829,0.108,0.1286,,0.1286,0.3195,0.259467919,0.338028169,0.402503912,0.740532081,11.309,0.041187065,274.5764957,
69,H,Drought,PIEN,47.1,0.89,6.1,0.0142,0.0033,0.0154,,0.0154,0.0329,0.431610942,0.100303951,0.468085106,0.568389058,1.646,0.006221139,264.5817814,
70,H,Drought,PIEN,47.1,4.65,23,0.8605,1.18,2.3576,,2.3576,4.3981,0.195652668,0.268297674,0.536049658,0.804347332,189.265,0.169822718,1114.485755,
71,H,Drought,PIEN,47.1,4.36,22.5,1.0543,1.2202,2.9272,,2.9272,5.2017,0.202683738,0.234577157,0.562739105,0.797316262,241.345,0.149301049,1616.499021,
72,H,Drought,PIEN,47.1,4.85,36.2,1.72,2.4347,4.8978,,4.8978,9.0525,0.190002762,0.268953328,0.541043911,0.809997238,333.869,0.184745283,1807.185518,
73,H,Control,PIEN,47.1,3.7,15.2,0.3708,0.3693,0.465,,0.465,1.2051,0.307692308,0.306447598,0.385860095,0.692307692,38.236,0.107521009,355.6142238,
74,H,Control,PIEN,47.1,3.12,12.7,0.3128,0.6034,0.5683,,0.5683,1.4845,0.210710677,0.406466824,0.382822499,0.789289323,49.294,0.076453799,644.7554047,
75,H,Control,PIEN,47.1,4.92,21.6,0.6453,1.4238,1.1672,,1.1672,3.2363,0.19939437,0.439946853,0.360658777,0.80060563,97.902,0.190116621,514.9576059,
76,H,Control,PIEN,47.1,2.66,20.3,0.2089,0.3486,0.3692,,0.3692,0.9267,0.225423546,0.376173519,0.398402935,0.774576454,32.307,0.055571632,581.3577643,
77,I,Drought,PIEN,18.8,1.35,11.6,0.0262,0.0444,0.0487,,0.0487,0.1193,0.219614417,0.372170997,0.408214585,0.780385583,5.312,0.014313882,371.1082832,
78,I,Drought,PIEN,18.8,1.91,8.2,0.0642,0.0543,0.139,,0.139,0.2575,0.249320388,0.210873786,0.539805825,0.750679612,14.701,0.02865211,513.0861146,
79,I,Drought,PIEN,18.8,0.87,2.9,0.0027,0.0015,0.0032,,0.0032,0.0074,0.364864865,0.202702703,0.432432432,0.635135135,0.406,0.005944679,68.29637405,
80,I,Drought,ABLA,18.8,2.32,6.4,0.0518,0.0674,0.1013,,0.1013,0.2205,0.234920635,0.305668934,0.459410431,0.765079365,9.924,0.042273271,234.7582722,
81,I,Drought,ABLA,18.8,2.4,11.9,0.1345,0.1035,0.1675,,0.1675,0.4055,0.331689273,0.255240444,0.413070284,0.668310727,16.633,0.045238934,367.6700234,
82,I,Drought,ABLA,18.8,0.84,8.3,0.0172,0.0074,0.0134,,0.0134,0.038,0.452631579,0.194736842,0.352631579,0.547368421,1.495,0.005541769,269.769433,
83,I,Drought,ABLA,18.8,2.02,11.2,0.0911,0.0723,0.1021,0.0323,0.1344,0.2978,0.305910007,0.24278039,0.451309604,0.694089993,11.87,0.032047387,370.3890157,
84,I,Drought,ABLA,18.8,1.02,6.4,0.0252,0.0134,0.0173,,0.0173,0.0559,0.450805009,0.239713775,0.309481216,0.549194991,1.398,0.008171282,171.0869746,
85,I,Drought,ABLA,18.8,2.31,6.6,0.0328,0.0637,0.072,,0.072,0.1685,0.194658754,0.378041543,0.427299703,0.805341246,6.721,0.041909631,160.3688645,
86,I,Control,PIEN,18.8,0.89,8.5,0.0054,0.0041,0.0043,,0.0043,0.0138,0.391304348,0.297101449,0.311594203,0.608695652,0.53,0.006221139,85.19340471,
87,I,Control,PIEN,18.8,1.32,7.1,0.0063,0.0153,0.0142,,0.0142,0.0358,0.175977654,0.427374302,0.396648045,0.824022346,1.678,0.013684778,122.6179956,
88,I,Control,PIEN,18.8,1.89,5.6,0.0684,0.0777,0.1362,,0.1362,0.2823,0.24229543,0.275239107,0.482465462,0.75770457,14.253,0.028055208,508.0340201,
89,I,Control,ABLA,18.8,1.29,4,0.0428,0.0258,0.0566,,0.0566,0.1252,0.341853035,0.206070288,0.452076677,0.658146965,5.048,0.013069811,386.233593,
90,I,Control,ABLA,18.8,1.42,15.9,0.0554,0.0337,0.0482,,0.0482,0.1373,0.403495994,0.245447924,0.351056082,0.596504006,4.459,0.015836769,281.5599648,
91,I,Control,ABLA,18.8,0.78,7.4,0.0103,0.0036,0.0081,,0.0081,0.022,0.468181818,0.163636364,0.368181818,0.531818182,0.908,0.004778362,190.0232588,
92,I,Control,ABLA,18.8,1.81,7.6,0.0523,0.0444,0.0377,,0.0377,0.1344,0.389136905,0.330357143,0.280505952,0.610863095,3.714,0.025730429,144.3427145,
93,I,Control,ABLA,18.8,2,6.9,0.1104,0.1386,0.1402,,0.1402,0.3892,0.283658787,0.356115108,0.360226105,0.716341213,10.326,0.031415927,328.6867885,
94,I,Control,ABLA,18.8,2.34,9.6,0.148,0.1573,0.236,,0.236,0.5413,0.273415851,0.290596712,0.435987438,0.726584149,19.962,0.043005262,464.1757578,
95,J,Drought,ABLA,18.7,1.21,6.4,0.038,0.0419,0.0519,,0.0519,0.1318,0.28831563,0.317905918,0.393778452,0.71168437,5.324,0.011499015,462.9961981,
96,J,Drought,ABLA,18.7,0.9,3.1,0.013,0.005,0.0136,,0.0136,0.0316,0.411392405,0.158227848,0.430379747,0.588607595,1.496,0.006361725,235.1563406,
97,J,Drought,ABLA,18.7,3.03,6.4,0.1692,0.3834,0.5293,,0.5293,1.0819,0.156391533,0.35437656,0.489231907,0.843608467,51.115,0.07210662,708.8808214,
98,J,Drought,ABLA,18.7,0.96,5.5,0.0294,0.0089,0.0294,,0.0294,0.0677,0.434268833,0.131462334,0.434268833,0.565731167,2.858,0.007238229,394.8479404,
99,J,Drought,ABLA,18.7,3.13,7.1,0.1456,0.2034,0.2512,0.0389,0.2901,0.6391,0.227820372,0.318260053,0.453919574,0.772179628,25.89,0.076944673,336.4755363,
100,J,Drought,ABLA,18.7,0.53,3.5,0.0059,0.002,0.0031,,0.0031,0.011,0.536363636,0.181818182,0.281818182,0.463636364,0.401,0.002206183,181.7618574,
101,J,Drought,ABLA,18.7,3.86,24.9,0.4048,1.0167,1.1366,0.0475,1.1841,2.6056,0.155357691,0.390198035,0.454444274,0.844642309,89.499,0.117021185,764.8102366,
102,J,Drought,ABLA,18.7,1.42,11.2,0.0553,0.0427,0.057,,0.057,0.155,0.356774194,0.275483871,0.367741935,0.643225806,4.837,0.015836769,305.4284704,
